txn_id,from_account,to_account,amount,channel,timestamp,is_fraud,fraud_type,customer_age,account_age_days,kyc_tier,avg_monthly_balance,transaction_count_30d,avg_txn_amount,std_txn_amount,max_txn_amount,min_txn_amount,hour_of_day,day_of_week,is_weekend,is_holiday,geo_distance_from_home,device_risk_flag,device_account_count,counterparty_risk_score,is_international,channel_switch_count,currency,ip_address,device_fingerprint
TXN-N-000703,ACC-00402,ACC-00321,70678.11,NEFT,2026-02-10T15:59:49,0,none,34,2544,3,36152.9,16,1393.76,1758.21,5436.08,10.0,15,1,0,0,1.31,0,1,0.1382,0,0,INR,sha256:47264fe0c20db34a,dev_fp_7a359c86
TXN-N-000194,ACC-00493,ACC-00055,82352.37,NEFT,2026-03-11T10:12:48,0,none,40,2278,1,17363.04,9,1121.86,705.85,2191.41,292.55,10,2,0,0,6.61,0,1,0.1615,0,1,INR,sha256:e5973afa98cf1421,dev_fp_c4fe72da
TXN-N-000104,ACC-00105,ACC-00390,58208.56,NEFT,2026-02-10T20:04:10,0,none,68,690,2,18225.67,18,1619.12,14223.62,41233.55,10.0,20,1,0,0,3.23,0,1,0.1773,0,0,INR,sha256:6642e3da2d366608,dev_fp_9beb0235
TXN-N-000807,ACC-00302,ACC-00129,256.46,ATM,2026-01-12T11:45:08,0,none,52,2947,3,82079.08,14,1058.3,12715.59,26442.9,10.0,11,0,0,0,0.87,0,2,0.2541,0,2,INR,sha256:339fa261fd9bfd9f,dev_fp_ca34de58
TXN-N-000655,ACC-00472,ACC-00065,1783.26,POS,2026-03-17T20:36:57,0,none,57,2952,3,35614.22,17,1380.46,10177.28,29654.71,10.0,20,1,0,0,2.92,0,6,0.2003,0,5,INR,sha256:61f690d8035aea43,dev_fp_20b4839b
TXN-N-000999,ACC-00031,ACC-00163,48.45,POS,2026-03-08T15:47:41,0,none,69,546,3,12467.56,14,1758.41,5880.4,13448.35,10.0,15,6,1,0,7.88,0,2,0.2814,0,2,INR,sha256:7d692495d7a883f5,dev_fp_f37a84e9
TXN-N-000604,ACC-00045,ACC-00372,2654.63,UPI,2026-03-30T14:37:35,0,none,53,496,2,4031.8,12,2173.91,2568.33,8915.04,10.0,14,0,0,0,11.68,0,2,0.1789,0,0,INR,sha256:8ffef62c64fefc23,dev_fp_7c6bdd40
TXN-N-000290,ACC-00394,ACC-00269,3447.98,UPI,2026-02-10T15:20:11,0,none,28,3615,2,17521.81,12,1838.89,4900.7,10124.43,10.0,15,1,0,0,2.59,0,2,0.2022,0,2,INR,sha256:eb14aa85f5b354ad,dev_fp_7f70cb66
TXN-N-000300,ACC-00313,ACC-00008,64.4,POS,2026-03-12T07:57:13,0,none,28,1082,2,91548.83,15,283.82,6272.26,6887.84,10.0,7,3,0,0,10.34,0,3,0.0054,0,2,INR,sha256:5b902712575ee217,dev_fp_44f47930
TXN-N-000234,ACC-00046,ACC-00279,69344.43,NEFT,2026-03-16T14:32:30,0,none,61,1087,1,225184.04,9,3890.11,1405.96,7324.09,2701.25,14,0,0,0,20.06,0,4,0.2556,0,0,INR,sha256:b04854f2e3982fc4,dev_fp_be06efb9
TXN-N-000361,ACC-00092,ACC-00377,2375.71,IMPS,2026-03-15T16:36:40,0,none,69,522,3,37390.94,18,1339.15,3074.79,6281.78,10.0,16,6,1,0,8.91,0,3,0.1169,0,1,INR,sha256:17bb5994538b739a,dev_fp_a62546aa
TXN-N-000877,ACC-00031,ACC-00144,1313.97,NEFT,2026-02-19T19:04:47,0,none,30,3389,2,21267.86,10,1938.66,10419.74,18337.77,10.0,19,3,0,0,2.55,0,1,0.1174,0,1,INR,sha256:0b539cf3de2ef715,dev_fp_ae1b49a5
TXN-N-000189,ACC-00261,ACC-00221,1383.59,UPI,2026-01-10T10:03:30,0,none,35,877,3,20689.06,19,1238.38,13108.24,19082.83,10.0,10,5,1,0,1.97,0,2,0.1334,0,0,INR,sha256:4b1af70e739efa3a,dev_fp_442cc84c
TXN-N-000430,ACC-00128,ACC-00369,241.35,IMPS,2026-03-16T16:55:24,0,none,18,2294,3,84198.59,15,1105.61,11891.46,30277.85,10.0,16,0,0,0,3.03,0,2,0.0723,0,1,INR,sha256:e1f97023d06e36db,dev_fp_b30ba91e
TXN-N-000465,ACC-00195,ACC-00293,228.83,IMPS,2026-03-20T11:05:58,0,none,27,1939,2,11041.1,13,682.42,12000.98,27095.51,10.0,11,4,0,0,0.41,0,2,0.064,0,2,INR,sha256:304c643d0efb5692,dev_fp_d27551e4
TXN-N-000483,ACC-00441,ACC-00045,494.35,POS,2026-02-11T10:24:25,0,none,53,1863,1,3320.82,11,1063.09,7893.44,22581.04,10.0,10,2,0,0,9.7,0,2,0.2499,0,0,INR,sha256:07b8edadabecf2fb,dev_fp_b9e7c090
TXN-N-000989,ACC-00338,ACC-00492,1788.32,IMPS,2026-03-25T10:03:58,0,none,62,3236,3,18195.19,17,700.64,14962.86,33990.79,10.0,10,2,0,1,9.8,0,2,0.0678,0,0,INR,sha256:fdc23c4e6bab019e,dev_fp_8f7bef9a
TXN-N-000404,ACC-00022,ACC-00288,443.57,POS,2026-02-16T11:47:31,0,none,32,482,3,16716.64,11,611.7,5208.88,14517.32,10.0,11,0,0,0,3.82,0,1,0.1457,0,5,INR,sha256:5eeda7990a91b147,dev_fp_75c61afa
TXN-N-000156,ACC-00418,ACC-00004,10379.46,UPI,2026-03-02T13:23:18,0,none,53,1999,2,72442.51,17,958.22,13242.15,28987.95,10.0,13,0,0,0,4.76,0,2,0.1507,0,0,INR,sha256:41d499ca6bc84da1,dev_fp_0b1971ea
TXN-N-000810,ACC-00179,ACC-00499,3366.97,UPI,2026-01-17T16:24:53,0,none,33,1333,2,33801.3,15,1085.04,13094.54,36620.69,10.0,16,5,1,0,1.42,0,3,0.0525,0,0,INR,sha256:b73be130559a1e63,dev_fp_a98825a9
TXN-N-000165,ACC-00403,ACC-00482,843.21,IMPS,2026-02-24T11:24:44,0,none,23,2098,2,10666.93,9,1211.98,8012.12,12653.2,10.0,11,1,0,0,8.35,1,5,0.0461,0,1,INR,sha256:9126bca96e42cbe2,dev_fp_014fd7ad
TXN-N-000353,ACC-00488,ACC-00313,855.05,NEFT,2026-01-03T17:36:05,0,none,36,1583,3,234388.08,14,1208.98,6665.25,13972.41,10.0,17,5,1,0,5.38,0,5,0.1025,0,2,INR,sha256:3d5364140049defd,dev_fp_106ee411
TXN-N-000701,ACC-00303,ACC-00334,74286.39,NEFT,2026-03-14T17:47:51,0,none,47,731,2,22252.85,17,1399.41,7521.78,21647.42,10.0,17,5,1,0,7.72,0,2,0.175,0,1,INR,sha256:43a95b17ee40d1d5,dev_fp_8c05b813
TXN-N-000340,ACC-00282,ACC-00397,1313.84,NEFT,2026-02-18T09:08:54,0,none,56,3063,1,17382.85,20,592.87,1522.32,3881.2,10.0,9,2,0,0,5.02,0,3,0.158,0,0,INR,sha256:02936dd79b27558f,dev_fp_bec2d202
TXN-N-000216,ACC-00064,ACC-00244,866.72,UPI,2026-03-19T16:47:00,0,none,20,3603,2,28878.03,13,898.55,14233.72,26703.22,10.0,16,3,0,0,11.39,0,1,0.2809,0,1,INR,sha256:d54a1cced688dcf7,dev_fp_9d4ca2d9
TXN-N-000662,ACC-00443,ACC-00349,2383.93,UPI,2026-01-08T13:42:58,0,none,47,2136,2,6165.62,8,2066.32,1933.92,4560.04,210.36,13,3,0,0,1.82,0,2,0.2818,0,2,INR,sha256:6e27f516295a1ddc,dev_fp_872f8aa4
TXN-N-000707,ACC-00101,ACC-00219,1137.9,IMPS,2026-01-29T14:06:35,0,none,28,1469,2,36862.04,20,991.91,5624.51,14608.45,10.0,14,3,0,0,1.86,0,1,0.065,1,2,INR,sha256:030d93f1bc6f60aa,dev_fp_79a3d968
TXN-N-000692,ACC-00266,ACC-00007,1110.81,ATM,2026-02-01T23:13:49,0,none,43,2650,2,71720.1,10,494.19,10089.55,22854.05,10.0,23,6,1,0,12.88,0,2,0.1379,0,0,INR,sha256:edc36607a5462e3b,dev_fp_8bf946fb
TXN-N-000570,ACC-00039,ACC-00177,221.69,NEFT,2026-02-07T09:02:33,0,none,29,2549,1,9852.28,12,1376.88,9517.31,20335.98,10.0,9,5,1,0,2.63,0,1,0.1297,0,0,INR,sha256:72a5cc96aa962476,dev_fp_7a1bb88c
TXN-N-000608,ACC-00109,ACC-00027,184.94,UPI,2026-01-13T09:14:17,0,none,67,1823,3,12637.82,11,807.85,5904.91,15510.21,10.0,9,1,0,0,1.39,0,1,0.2178,0,2,INR,sha256:55e6995a269bb6cd,dev_fp_28b01dc1
TXN-N-000419,ACC-00458,ACC-00186,444.51,UPI,2026-02-19T14:04:18,0,none,21,1315,3,122902.22,19,1434.82,11535.38,25072.78,10.0,14,3,0,0,3.37,0,2,0.0369,0,0,INR,sha256:2aa1671c5c6b6e43,dev_fp_2930fd57
TXN-N-000082,ACC-00451,ACC-00172,69627.96,NEFT,2026-03-29T20:07:44,0,none,40,3532,1,36355.26,21,902.99,2889.96,4778.9,10.0,20,6,1,0,7.77,0,2,0.0703,0,1,INR,sha256:d7878545a144c499,dev_fp_5ac90f79
TXN-N-000066,ACC-00480,ACC-00368,1993.46,ATM,2026-01-25T21:14:49,0,none,20,1857,2,10334.11,18,819.19,14543.09,38593.82,10.0,21,6,1,0,4.61,0,4,0.1015,0,0,INR,sha256:9856465fe7114160,dev_fp_3a979c6e
TXN-N-000809,ACC-00013,ACC-00295,567.01,IMPS,2026-01-20T12:58:49,0,none,41,1079,2,5805.67,16,1721.48,11501.45,14616.86,10.0,12,1,0,0,0.86,0,2,0.2726,0,1,INR,sha256:9501736151c8a321,dev_fp_14b06273
TXN-N-000627,ACC-00048,ACC-00027,2062.89,UPI,2026-02-26T09:40:05,0,none,29,2107,3,22517.94,16,394.59,10921.08,23265.76,10.0,9,3,0,0,1.4,0,3,0.2453,0,1,INR,sha256:d0f2208c7b02b76e,dev_fp_0ed4e30f
TXN-N-000781,ACC-00253,ACC-00412,382.41,UPI,2026-02-11T09:40:47,0,none,49,693,1,93390.8,11,2414.31,13017.94,19967.74,10.0,9,2,0,0,0.27,0,2,0.129,0,0,INR,sha256:a0ba15ee589e4a12,dev_fp_0f142aa0
TXN-N-000647,ACC-00169,ACC-00466,315.73,IMPS,2026-03-28T08:32:50,0,none,53,366,3,5657.15,18,524.32,914.85,3122.26,10.0,8,5,1,0,4.06,0,1,0.1637,0,3,INR,sha256:0a38f10ccb9bb678,dev_fp_9f2a2e9c
TXN-N-000896,ACC-00255,ACC-00301,230.66,UPI,2026-03-10T14:43:43,0,none,56,2659,2,24624.2,14,1771.87,3409.43,6262.01,10.0,14,1,0,0,1.33,0,1,0.1241,0,1,INR,sha256:34b8b8af361a833f,dev_fp_3483415a
TXN-N-000073,ACC-00342,ACC-00220,810.16,UPI,2026-01-14T10:15:15,0,none,48,1671,3,10744.79,20,860.76,9485.64,21008.13,10.0,10,2,0,0,7.39,0,1,0.2197,0,0,INR,sha256:afa3d3e1c698d3ef,dev_fp_94ffb864
TXN-N-000239,ACC-00124,ACC-00203,156.91,IMPS,2026-01-13T06:25:12,0,none,44,406,2,9042.99,12,512.24,4153.97,12315.81,10.0,6,1,0,0,4.54,0,3,0.0387,0,1,INR,sha256:16409ade9a283516,dev_fp_b9c49bc3
TXN-N-000393,ACC-00389,ACC-00460,571.54,POS,2026-01-29T13:48:53,0,none,49,1089,3,38103.87,13,1169.91,7844.27,10360.42,10.0,13,3,0,1,7.0,0,2,0.1867,0,0,INR,sha256:094a04e9448a55bd,dev_fp_5427da4d
TXN-N-000358,ACC-00313,ACC-00083,211.61,NEFT,2026-01-25T11:10:32,0,none,41,223,2,10506.72,19,712.28,4545.01,6897.02,10.0,11,6,1,0,1.12,0,5,0.0661,0,1,INR,sha256:cdd93b7932fd1626,dev_fp_4bd64769
TXN-N-000618,ACC-00119,ACC-00485,2898.53,IMPS,2026-03-11T16:07:49,0,none,53,3106,2,46251.63,13,410.82,12797.98,25584.62,10.0,16,2,0,0,0.76,0,2,0.1569,0,1,INR,sha256:d257c5926ce2632e,dev_fp_60e71d92
TXN-N-000383,ACC-00352,ACC-00178,37427.74,NEFT,2026-02-27T20:21:44,0,none,58,2982,2,2357.08,13,1726.62,5479.6,12245.82,10.0,20,4,0,0,1.58,0,3,0.0551,0,1,INR,sha256:33cc88ad2c549f87,dev_fp_2429277a
TXN-N-000329,ACC-00343,ACC-00359,243.43,IMPS,2026-03-06T12:44:04,0,none,30,147,3,38103.71,14,561.3,7574.21,18772.19,10.0,12,4,0,0,1.7,0,3,0.2376,0,1,INR,sha256:013a924a972a37ee,dev_fp_90c10b25
TXN-N-000688,ACC-00278,ACC-00483,2383.66,ATM,2026-02-19T18:36:58,0,none,41,488,3,16462.43,18,861.91,851.28,3277.41,10.0,18,3,0,0,7.17,0,2,0.0731,0,2,INR,sha256:5b32ec479b4189dd,dev_fp_ca57e085
TXN-N-000252,ACC-00381,ACC-00368,77731.67,NEFT,2026-01-30T08:58:46,0,none,65,685,3,32264.87,15,1494.94,10320.86,26319.29,10.0,8,4,0,0,2.55,0,2,0.0379,0,0,INR,sha256:3d8b14a9ce55116a,dev_fp_c66c8778
TXN-N-000977,ACC-00260,ACC-00275,75673.52,NEFT,2026-02-04T15:59:17,0,none,38,977,2,142248.58,16,1217.43,14131.72,29876.17,10.0,15,2,0,0,7.88,0,2,0.0232,0,2,INR,sha256:4ad5f951d41c2154,dev_fp_dd67879f
TXN-N-000899,ACC-00251,ACC-00338,438.61,IMPS,2026-01-17T10:25:13,0,none,25,226,3,14112.39,15,1100.54,11702.01,29206.58,10.0,10,5,1,0,7.27,0,2,0.0726,0,1,INR,sha256:f7d1665a5f8df655,dev_fp_24739cdb
TXN-F-DORM-000000,ACC-00073,ACC-00160,1558505.52,IMPS,2026-03-25T07:26:00,1,dormant,48,1173,2,14553.9,0,570.83,2496.12,44204.23,7219.61,7,2,0,0,400.79,0,2,0.8492,0,2,INR,sha256:3e46f9465513e433,dev_fp_757764f2
TXN-N-000237,ACC-00297,ACC-00203,1698.27,ATM,2026-03-02T09:56:38,0,none,36,355,2,25212.82,16,955.17,8025.81,24699.76,10.0,9,0,0,0,1.38,0,2,0.1451,0,0,INR,sha256:e81fa106cd1a88b6,dev_fp_1ea30349
TXN-N-000067,ACC-00334,ACC-00124,1131.02,IMPS,2026-01-22T10:19:20,0,none,61,3389,2,6552.11,20,1934.77,8388.24,20994.04,10.0,10,3,0,0,6.9,0,1,0.0162,0,1,INR,sha256:5b5b208a1c6f0d0b,dev_fp_0cbf5aba
TXN-N-000417,ACC-00157,ACC-00151,536.24,ATM,2026-01-21T16:09:40,0,none,29,1595,1,4818.47,20,783.61,5443.29,12144.13,10.0,16,2,0,0,0.87,0,2,0.1795,0,1,INR,sha256:7bf9b0a0428bce60,dev_fp_e6832a60
TXN-N-000684,ACC-00440,ACC-00174,7610.08,POS,2026-03-02T16:11:28,0,none,38,1649,2,51454.67,28,1017.41,6080.75,16617.4,10.0,16,0,0,0,1.89,0,1,0.1738,0,0,INR,sha256:2f99ecbe2731ec4c,dev_fp_9780be2f
TXN-N-000033,ACC-00195,ACC-00472,64239.03,NEFT,2026-01-20T14:37:29,0,none,26,3327,3,15443.87,15,1247.3,7529.29,16493.47,10.0,14,1,0,0,2.58,0,2,0.0397,0,3,INR,sha256:2968a7d063959693,dev_fp_28e0827f
TXN-N-000611,ACC-00304,ACC-00393,71893.57,NEFT,2026-01-10T08:03:25,0,none,32,603,3,16139.67,16,1341.88,3433.07,6902.79,10.0,8,5,1,1,11.67,0,2,0.2307,0,3,INR,sha256:39104e74d7e7e5b2,dev_fp_2f2bbab1
TXN-N-000521,ACC-00248,ACC-00193,706.7,IMPS,2026-01-12T12:58:57,0,none,36,2524,3,37481.25,23,3642.29,4240.58,14300.89,10.0,12,0,0,0,15.08,0,1,0.0517,0,0,INR,sha256:ec3d701841d808d8,dev_fp_b2b4f5c8
TXN-N-000843,ACC-00143,ACC-00354,43917.14,NEFT,2026-01-10T13:16:11,0,none,34,2956,3,31427.53,16,977.73,7276.03,22057.09,10.0,13,5,1,0,1.48,0,4,0.0009,0,0,INR,sha256:6d28ef1733c0ae9b,dev_fp_aa179a47
TXN-N-000646,ACC-00076,ACC-00105,187.71,POS,2026-03-19T12:20:35,0,none,39,2949,3,12092.22,16,533.76,10751.46,17401.08,10.0,12,3,0,0,0.89,0,1,0.1821,0,1,INR,sha256:c3d346d9f89ebed0,dev_fp_ddbbd83a
TXN-N-000304,ACC-00098,ACC-00042,405.08,UPI,2026-01-18T10:23:50,0,none,40,2729,3,22045.18,16,647.48,7320.39,21968.05,10.0,10,6,1,0,6.86,0,1,0.1733,0,0,INR,sha256:2f61a5cebe2ef3f4,dev_fp_4445f35d
TXN-N-000285,ACC-00169,ACC-00479,250.96,NEFT,2026-01-15T17:18:42,0,none,54,735,2,123994.74,20,669.83,4703.27,5509.64,10.0,17,3,0,0,2.35,0,3,0.1799,0,1,INR,sha256:9053619cc1f61789,dev_fp_ce330bdf
TXN-N-000336,ACC-00325,ACC-00320,1896.8,UPI,2026-01-16T11:36:55,0,none,58,2209,2,7464.52,15,1016.92,14172.23,35640.02,10.0,11,4,0,0,6.59,0,3,0.1536,0,1,INR,sha256:4e53def2f51122ab,dev_fp_b891f9e6
